fname,seed,p_trans
input_8_v2_1.bay,1,0.0001
input_8_v2_2.bay,1,0.00015
input_8_v2_3.bay,1,0.0002
input_8_v2_4.bay,1,0.00025
input_8_v2_5.bay,1,0.0003
input_8_v2_6.bay,1,0.00035
input_8_v2_7.bay,1,0.0004
input_8_v2_8.bay,1,0.00045
input_8_v2_9.bay,1,0.0005
input_8_v2_10.bay,1,0.00055
input_8_v2_11.bay,2,0.0001
input_8_v2_12.bay,2,0.00015
input_8_v2_13.bay,2,0.0002
input_8_v2_14.bay,2,0.00025
input_8_v2_15.bay,2,0.0003
input_8_v2_16.bay,2,0.00035
input_8_v2_17.bay,2,0.0004
input_8_v2_18.bay,2,0.00045
input_8_v2_19.bay,2,0.0005
input_8_v2_20.bay,2,0.00055
input_8_v2_21.bay,3,0.0001
input_8_v2_22.bay,3,0.00015
input_8_v2_23.bay,3,0.0002
input_8_v2_24.bay,3,0.00025
input_8_v2_25.bay,3,0.0003
input_8_v2_26.bay,3,0.00035
input_8_v2_27.bay,3,0.0004
input_8_v2_28.bay,3,0.00045
input_8_v2_29.bay,3,0.0005
input_8_v2_30.bay,3,0.00055
input_8_v2_31.bay,4,0.0001
input_8_v2_32.bay,4,0.00015
input_8_v2_33.bay,4,0.0002
input_8_v2_34.bay,4,0.00025
input_8_v2_35.bay,4,0.0003
input_8_v2_36.bay,4,0.00035
input_8_v2_37.bay,4,0.0004
input_8_v2_38.bay,4,0.00045
input_8_v2_39.bay,4,0.0005
input_8_v2_40.bay,4,0.00055
input_8_v2_41.bay,5,0.0001
input_8_v2_42.bay,5,0.00015
input_8_v2_43.bay,5,0.0002
input_8_v2_44.bay,5,0.00025
input_8_v2_45.bay,5,0.0003
input_8_v2_46.bay,5,0.00035
input_8_v2_47.bay,5,0.0004
input_8_v2_48.bay,5,0.00045
input_8_v2_49.bay,5,0.0005
input_8_v2_50.bay,5,0.00055
input_8_v2_51.bay,6,0.0001
input_8_v2_52.bay,6,0.00015
input_8_v2_53.bay,6,0.0002
input_8_v2_54.bay,6,0.00025
input_8_v2_55.bay,6,0.0003
input_8_v2_56.bay,6,0.00035
input_8_v2_57.bay,6,0.0004
input_8_v2_58.bay,6,0.00045
input_8_v2_59.bay,6,0.0005
input_8_v2_60.bay,6,0.00055
input_8_v2_61.bay,7,0.0001
input_8_v2_62.bay,7,0.00015
input_8_v2_63.bay,7,0.0002
input_8_v2_64.bay,7,0.00025
input_8_v2_65.bay,7,0.0003
input_8_v2_66.bay,7,0.00035
input_8_v2_67.bay,7,0.0004
input_8_v2_68.bay,7,0.00045
input_8_v2_69.bay,7,0.0005
input_8_v2_70.bay,7,0.00055
input_8_v2_71.bay,8,0.0001
input_8_v2_72.bay,8,0.00015
input_8_v2_73.bay,8,0.0002
input_8_v2_74.bay,8,0.00025
input_8_v2_75.bay,8,0.0003
input_8_v2_76.bay,8,0.00035
input_8_v2_77.bay,8,0.0004
input_8_v2_78.bay,8,0.00045
input_8_v2_79.bay,8,0.0005
input_8_v2_80.bay,8,0.00055
input_8_v2_81.bay,9,0.0001
input_8_v2_82.bay,9,0.00015
input_8_v2_83.bay,9,0.0002
input_8_v2_84.bay,9,0.00025
input_8_v2_85.bay,9,0.0003
input_8_v2_86.bay,9,0.00035
input_8_v2_87.bay,9,0.0004
input_8_v2_88.bay,9,0.00045
input_8_v2_89.bay,9,0.0005
input_8_v2_90.bay,9,0.00055
input_8_v2_91.bay,10,0.0001
input_8_v2_92.bay,10,0.00015
input_8_v2_93.bay,10,0.0002
input_8_v2_94.bay,10,0.00025
input_8_v2_95.bay,10,0.0003
input_8_v2_96.bay,10,0.00035
input_8_v2_97.bay,10,0.0004
input_8_v2_98.bay,10,0.00045
input_8_v2_99.bay,10,0.0005
input_8_v2_100.bay,10,0.00055
input_8_v2_101.bay,11,0.0001
input_8_v2_102.bay,11,0.00015
input_8_v2_103.bay,11,0.0002
input_8_v2_104.bay,11,0.00025
input_8_v2_105.bay,11,0.0003
input_8_v2_106.bay,11,0.00035
input_8_v2_107.bay,11,0.0004
input_8_v2_108.bay,11,0.00045
input_8_v2_109.bay,11,0.0005
input_8_v2_110.bay,11,0.00055
input_8_v2_111.bay,12,0.0001
input_8_v2_112.bay,12,0.00015
input_8_v2_113.bay,12,0.0002
input_8_v2_114.bay,12,0.00025
input_8_v2_115.bay,12,0.0003
input_8_v2_116.bay,12,0.00035
input_8_v2_117.bay,12,0.0004
input_8_v2_118.bay,12,0.00045
input_8_v2_119.bay,12,0.0005
input_8_v2_120.bay,12,0.00055
input_8_v2_121.bay,13,0.0001
input_8_v2_122.bay,13,0.00015
input_8_v2_123.bay,13,0.0002
input_8_v2_124.bay,13,0.00025
input_8_v2_125.bay,13,0.0003
input_8_v2_126.bay,13,0.00035
input_8_v2_127.bay,13,0.0004
input_8_v2_128.bay,13,0.00045
input_8_v2_129.bay,13,0.0005
input_8_v2_130.bay,13,0.00055
input_8_v2_131.bay,14,0.0001
input_8_v2_132.bay,14,0.00015
input_8_v2_133.bay,14,0.0002
input_8_v2_134.bay,14,0.00025
input_8_v2_135.bay,14,0.0003
input_8_v2_136.bay,14,0.00035
input_8_v2_137.bay,14,0.0004
input_8_v2_138.bay,14,0.00045
input_8_v2_139.bay,14,0.0005
input_8_v2_140.bay,14,0.00055
input_8_v2_141.bay,15,0.0001
input_8_v2_142.bay,15,0.00015
input_8_v2_143.bay,15,0.0002
input_8_v2_144.bay,15,0.00025
input_8_v2_145.bay,15,0.0003
input_8_v2_146.bay,15,0.00035
input_8_v2_147.bay,15,0.0004
input_8_v2_148.bay,15,0.00045
input_8_v2_149.bay,15,0.0005
input_8_v2_150.bay,15,0.00055
input_8_v2_151.bay,16,0.0001
input_8_v2_152.bay,16,0.00015
input_8_v2_153.bay,16,0.0002
input_8_v2_154.bay,16,0.00025
input_8_v2_155.bay,16,0.0003
input_8_v2_156.bay,16,0.00035
input_8_v2_157.bay,16,0.0004
input_8_v2_158.bay,16,0.00045
input_8_v2_159.bay,16,0.0005
input_8_v2_160.bay,16,0.00055
input_8_v2_161.bay,17,0.0001
input_8_v2_162.bay,17,0.00015
input_8_v2_163.bay,17,0.0002
input_8_v2_164.bay,17,0.00025
input_8_v2_165.bay,17,0.0003
input_8_v2_166.bay,17,0.00035
input_8_v2_167.bay,17,0.0004
input_8_v2_168.bay,17,0.00045
input_8_v2_169.bay,17,0.0005
input_8_v2_170.bay,17,0.00055
input_8_v2_171.bay,18,0.0001
input_8_v2_172.bay,18,0.00015
input_8_v2_173.bay,18,0.0002
input_8_v2_174.bay,18,0.00025
input_8_v2_175.bay,18,0.0003
input_8_v2_176.bay,18,0.00035
input_8_v2_177.bay,18,0.0004
input_8_v2_178.bay,18,0.00045
input_8_v2_179.bay,18,0.0005
input_8_v2_180.bay,18,0.00055
input_8_v2_181.bay,19,0.0001
input_8_v2_182.bay,19,0.00015
input_8_v2_183.bay,19,0.0002
input_8_v2_184.bay,19,0.00025
input_8_v2_185.bay,19,0.0003
input_8_v2_186.bay,19,0.00035
input_8_v2_187.bay,19,0.0004
input_8_v2_188.bay,19,0.00045
input_8_v2_189.bay,19,0.0005
input_8_v2_190.bay,19,0.00055
input_8_v2_191.bay,20,0.0001
input_8_v2_192.bay,20,0.00015
input_8_v2_193.bay,20,0.0002
input_8_v2_194.bay,20,0.00025
input_8_v2_195.bay,20,0.0003
input_8_v2_196.bay,20,0.00035
input_8_v2_197.bay,20,0.0004
input_8_v2_198.bay,20,0.00045
input_8_v2_199.bay,20,0.0005
input_8_v2_200.bay,20,0.00055
input_8_v2_201.bay,21,0.0001
input_8_v2_202.bay,21,0.00015
input_8_v2_203.bay,21,0.0002
input_8_v2_204.bay,21,0.00025
input_8_v2_205.bay,21,0.0003
input_8_v2_206.bay,21,0.00035
input_8_v2_207.bay,21,0.0004
input_8_v2_208.bay,21,0.00045
input_8_v2_209.bay,21,0.0005
input_8_v2_210.bay,21,0.00055
input_8_v2_211.bay,22,0.0001
input_8_v2_212.bay,22,0.00015
input_8_v2_213.bay,22,0.0002
input_8_v2_214.bay,22,0.00025
input_8_v2_215.bay,22,0.0003
input_8_v2_216.bay,22,0.00035
input_8_v2_217.bay,22,0.0004
input_8_v2_218.bay,22,0.00045
input_8_v2_219.bay,22,0.0005
input_8_v2_220.bay,22,0.00055
input_8_v2_221.bay,23,0.0001
input_8_v2_222.bay,23,0.00015
input_8_v2_223.bay,23,0.0002
input_8_v2_224.bay,23,0.00025
input_8_v2_225.bay,23,0.0003
input_8_v2_226.bay,23,0.00035
input_8_v2_227.bay,23,0.0004
input_8_v2_228.bay,23,0.00045
input_8_v2_229.bay,23,0.0005
input_8_v2_230.bay,23,0.00055
input_8_v2_231.bay,24,0.0001
input_8_v2_232.bay,24,0.00015
input_8_v2_233.bay,24,0.0002
input_8_v2_234.bay,24,0.00025
input_8_v2_235.bay,24,0.0003
input_8_v2_236.bay,24,0.00035
input_8_v2_237.bay,24,0.0004
input_8_v2_238.bay,24,0.00045
input_8_v2_239.bay,24,0.0005
input_8_v2_240.bay,24,0.00055
input_8_v2_241.bay,25,0.0001
input_8_v2_242.bay,25,0.00015
input_8_v2_243.bay,25,0.0002
input_8_v2_244.bay,25,0.00025
input_8_v2_245.bay,25,0.0003
input_8_v2_246.bay,25,0.00035
input_8_v2_247.bay,25,0.0004
input_8_v2_248.bay,25,0.00045
input_8_v2_249.bay,25,0.0005
input_8_v2_250.bay,25,0.00055
input_8_v2_251.bay,26,0.0001
input_8_v2_252.bay,26,0.00015
input_8_v2_253.bay,26,0.0002
input_8_v2_254.bay,26,0.00025
input_8_v2_255.bay,26,0.0003
input_8_v2_256.bay,26,0.00035
input_8_v2_257.bay,26,0.0004
input_8_v2_258.bay,26,0.00045
input_8_v2_259.bay,26,0.0005
input_8_v2_260.bay,26,0.00055
input_8_v2_261.bay,27,0.0001
input_8_v2_262.bay,27,0.00015
input_8_v2_263.bay,27,0.0002
input_8_v2_264.bay,27,0.00025
input_8_v2_265.bay,27,0.0003
input_8_v2_266.bay,27,0.00035
input_8_v2_267.bay,27,0.0004
input_8_v2_268.bay,27,0.00045
input_8_v2_269.bay,27,0.0005
input_8_v2_270.bay,27,0.00055
input_8_v2_271.bay,28,0.0001
input_8_v2_272.bay,28,0.00015
input_8_v2_273.bay,28,0.0002
input_8_v2_274.bay,28,0.00025
input_8_v2_275.bay,28,0.0003
input_8_v2_276.bay,28,0.00035
input_8_v2_277.bay,28,0.0004
input_8_v2_278.bay,28,0.00045
input_8_v2_279.bay,28,0.0005
input_8_v2_280.bay,28,0.00055
input_8_v2_281.bay,29,0.0001
input_8_v2_282.bay,29,0.00015
input_8_v2_283.bay,29,0.0002
input_8_v2_284.bay,29,0.00025
input_8_v2_285.bay,29,0.0003
input_8_v2_286.bay,29,0.00035
input_8_v2_287.bay,29,0.0004
input_8_v2_288.bay,29,0.00045
input_8_v2_289.bay,29,0.0005
input_8_v2_290.bay,29,0.00055
input_8_v2_291.bay,30,0.0001
input_8_v2_292.bay,30,0.00015
input_8_v2_293.bay,30,0.0002
input_8_v2_294.bay,30,0.00025
input_8_v2_295.bay,30,0.0003
input_8_v2_296.bay,30,0.00035
input_8_v2_297.bay,30,0.0004
input_8_v2_298.bay,30,0.00045
input_8_v2_299.bay,30,0.0005
input_8_v2_300.bay,30,0.00055
input_8_v2_301.bay,31,0.0001
input_8_v2_302.bay,31,0.00015
input_8_v2_303.bay,31,0.0002
input_8_v2_304.bay,31,0.00025
input_8_v2_305.bay,31,0.0003
input_8_v2_306.bay,31,0.00035
input_8_v2_307.bay,31,0.0004
input_8_v2_308.bay,31,0.00045
input_8_v2_309.bay,31,0.0005
input_8_v2_310.bay,31,0.00055
input_8_v2_311.bay,32,0.0001
input_8_v2_312.bay,32,0.00015
input_8_v2_313.bay,32,0.0002
input_8_v2_314.bay,32,0.00025
input_8_v2_315.bay,32,0.0003
input_8_v2_316.bay,32,0.00035
input_8_v2_317.bay,32,0.0004
input_8_v2_318.bay,32,0.00045
input_8_v2_319.bay,32,0.0005
input_8_v2_320.bay,32,0.00055
input_8_v2_321.bay,33,0.0001
input_8_v2_322.bay,33,0.00015
input_8_v2_323.bay,33,0.0002
input_8_v2_324.bay,33,0.00025
input_8_v2_325.bay,33,0.0003
input_8_v2_326.bay,33,0.00035
input_8_v2_327.bay,33,0.0004
input_8_v2_328.bay,33,0.00045
input_8_v2_329.bay,33,0.0005
input_8_v2_330.bay,33,0.00055
input_8_v2_331.bay,34,0.0001
input_8_v2_332.bay,34,0.00015
input_8_v2_333.bay,34,0.0002
input_8_v2_334.bay,34,0.00025
input_8_v2_335.bay,34,0.0003
input_8_v2_336.bay,34,0.00035
input_8_v2_337.bay,34,0.0004
input_8_v2_338.bay,34,0.00045
input_8_v2_339.bay,34,0.0005
input_8_v2_340.bay,34,0.00055
input_8_v2_341.bay,35,0.0001
input_8_v2_342.bay,35,0.00015
input_8_v2_343.bay,35,0.0002
input_8_v2_344.bay,35,0.00025
input_8_v2_345.bay,35,0.0003
input_8_v2_346.bay,35,0.00035
input_8_v2_347.bay,35,0.0004
input_8_v2_348.bay,35,0.00045
input_8_v2_349.bay,35,0.0005
input_8_v2_350.bay,35,0.00055
input_8_v2_351.bay,36,0.0001
input_8_v2_352.bay,36,0.00015
input_8_v2_353.bay,36,0.0002
input_8_v2_354.bay,36,0.00025
input_8_v2_355.bay,36,0.0003
input_8_v2_356.bay,36,0.00035
input_8_v2_357.bay,36,0.0004
input_8_v2_358.bay,36,0.00045
input_8_v2_359.bay,36,0.0005
input_8_v2_360.bay,36,0.00055
input_8_v2_361.bay,37,0.0001
input_8_v2_362.bay,37,0.00015
input_8_v2_363.bay,37,0.0002
input_8_v2_364.bay,37,0.00025
input_8_v2_365.bay,37,0.0003
input_8_v2_366.bay,37,0.00035
input_8_v2_367.bay,37,0.0004
input_8_v2_368.bay,37,0.00045
input_8_v2_369.bay,37,0.0005
input_8_v2_370.bay,37,0.00055
input_8_v2_371.bay,38,0.0001
input_8_v2_372.bay,38,0.00015
input_8_v2_373.bay,38,0.0002
input_8_v2_374.bay,38,0.00025
input_8_v2_375.bay,38,0.0003
input_8_v2_376.bay,38,0.00035
input_8_v2_377.bay,38,0.0004
input_8_v2_378.bay,38,0.00045
input_8_v2_379.bay,38,0.0005
input_8_v2_380.bay,38,0.00055
input_8_v2_381.bay,39,0.0001
input_8_v2_382.bay,39,0.00015
input_8_v2_383.bay,39,0.0002
input_8_v2_384.bay,39,0.00025
input_8_v2_385.bay,39,0.0003
input_8_v2_386.bay,39,0.00035
input_8_v2_387.bay,39,0.0004
input_8_v2_388.bay,39,0.00045
input_8_v2_389.bay,39,0.0005
input_8_v2_390.bay,39,0.00055
input_8_v2_391.bay,40,0.0001
input_8_v2_392.bay,40,0.00015
input_8_v2_393.bay,40,0.0002
input_8_v2_394.bay,40,0.00025
input_8_v2_395.bay,40,0.0003
input_8_v2_396.bay,40,0.00035
input_8_v2_397.bay,40,0.0004
input_8_v2_398.bay,40,0.00045
input_8_v2_399.bay,40,0.0005
input_8_v2_400.bay,40,0.00055
input_8_v2_401.bay,41,0.0001
input_8_v2_402.bay,41,0.00015
input_8_v2_403.bay,41,0.0002
input_8_v2_404.bay,41,0.00025
input_8_v2_405.bay,41,0.0003
input_8_v2_406.bay,41,0.00035
input_8_v2_407.bay,41,0.0004
input_8_v2_408.bay,41,0.00045
input_8_v2_409.bay,41,0.0005
input_8_v2_410.bay,41,0.00055
input_8_v2_411.bay,42,0.0001
input_8_v2_412.bay,42,0.00015
input_8_v2_413.bay,42,0.0002
input_8_v2_414.bay,42,0.00025
input_8_v2_415.bay,42,0.0003
input_8_v2_416.bay,42,0.00035
input_8_v2_417.bay,42,0.0004
input_8_v2_418.bay,42,0.00045
input_8_v2_419.bay,42,0.0005
input_8_v2_420.bay,42,0.00055
input_8_v2_421.bay,43,0.0001
input_8_v2_422.bay,43,0.00015
input_8_v2_423.bay,43,0.0002
input_8_v2_424.bay,43,0.00025
input_8_v2_425.bay,43,0.0003
input_8_v2_426.bay,43,0.00035
input_8_v2_427.bay,43,0.0004
input_8_v2_428.bay,43,0.00045
input_8_v2_429.bay,43,0.0005
input_8_v2_430.bay,43,0.00055
input_8_v2_431.bay,44,0.0001
input_8_v2_432.bay,44,0.00015
input_8_v2_433.bay,44,0.0002
input_8_v2_434.bay,44,0.00025
input_8_v2_435.bay,44,0.0003
input_8_v2_436.bay,44,0.00035
input_8_v2_437.bay,44,0.0004
input_8_v2_438.bay,44,0.00045
input_8_v2_439.bay,44,0.0005
input_8_v2_440.bay,44,0.00055
input_8_v2_441.bay,45,0.0001
input_8_v2_442.bay,45,0.00015
input_8_v2_443.bay,45,0.0002
input_8_v2_444.bay,45,0.00025
input_8_v2_445.bay,45,0.0003
input_8_v2_446.bay,45,0.00035
input_8_v2_447.bay,45,0.0004
input_8_v2_448.bay,45,0.00045
input_8_v2_449.bay,45,0.0005
input_8_v2_450.bay,45,0.00055
input_8_v2_451.bay,46,0.0001
input_8_v2_452.bay,46,0.00015
input_8_v2_453.bay,46,0.0002
input_8_v2_454.bay,46,0.00025
input_8_v2_455.bay,46,0.0003
input_8_v2_456.bay,46,0.00035
input_8_v2_457.bay,46,0.0004
input_8_v2_458.bay,46,0.00045
input_8_v2_459.bay,46,0.0005
input_8_v2_460.bay,46,0.00055
input_8_v2_461.bay,47,0.0001
input_8_v2_462.bay,47,0.00015
input_8_v2_463.bay,47,0.0002
input_8_v2_464.bay,47,0.00025
input_8_v2_465.bay,47,0.0003
input_8_v2_466.bay,47,0.00035
input_8_v2_467.bay,47,0.0004
input_8_v2_468.bay,47,0.00045
input_8_v2_469.bay,47,0.0005
input_8_v2_470.bay,47,0.00055
input_8_v2_471.bay,48,0.0001
input_8_v2_472.bay,48,0.00015
input_8_v2_473.bay,48,0.0002
input_8_v2_474.bay,48,0.00025
input_8_v2_475.bay,48,0.0003
input_8_v2_476.bay,48,0.00035
input_8_v2_477.bay,48,0.0004
input_8_v2_478.bay,48,0.00045
input_8_v2_479.bay,48,0.0005
input_8_v2_480.bay,48,0.00055
input_8_v2_481.bay,49,0.0001
input_8_v2_482.bay,49,0.00015
input_8_v2_483.bay,49,0.0002
input_8_v2_484.bay,49,0.00025
input_8_v2_485.bay,49,0.0003
input_8_v2_486.bay,49,0.00035
input_8_v2_487.bay,49,0.0004
input_8_v2_488.bay,49,0.00045
input_8_v2_489.bay,49,0.0005
input_8_v2_490.bay,49,0.00055
input_8_v2_491.bay,50,0.0001
input_8_v2_492.bay,50,0.00015
input_8_v2_493.bay,50,0.0002
input_8_v2_494.bay,50,0.00025
input_8_v2_495.bay,50,0.0003
input_8_v2_496.bay,50,0.00035
input_8_v2_497.bay,50,0.0004
input_8_v2_498.bay,50,0.00045
input_8_v2_499.bay,50,0.0005
input_8_v2_500.bay,50,0.00055
